tweet_id,timestamp,text,source,retweet_count,rating_numerator,rating_denominator,name,jpg_url,favorite_count,expanded_urls,dog_stage
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Twitter for iPhone,6029,13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,32162,https://twitter.com/dog_rates/status/892177421306343426/photo/1,None
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Twitter for iPhone,8301,13,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,40731,https://twitter.com/dog_rates/status/891689557279858688/photo/1,None
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,Twitter for iPhone,2985,13,10,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,19567,https://twitter.com/dog_rates/status/891087950875897856/photo/1,None
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,Twitter for iPhone,18106,13,10,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,63105,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",None
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Twitter for iPhone,7076,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,30872,https://twitter.com/dog_rates/status/890240255349198849/photo/1,doggo
889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Twitter for iPhone,4783,13,10,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,26931,https://twitter.com/dog_rates/status/889880896479866881/photo/1,None
889638837579907072,2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Twitter for iPhone,4349,12,10,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,26204,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",None
889278841981685760,2017-07-24 00:19:32+00:00,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Twitter for iPhone,5163,13,10,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,24415,https://twitter.com/dog_rates/status/889278841981685760/video/1,None
888804989199671297,2017-07-22 16:56:37+00:00,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Twitter for iPhone,4108,13,10,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,24737,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",None
888078434458587136,2017-07-20 16:49:33+00:00,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Twitter for iPhone,3342,12,10,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,21050,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",None
